보고 시작,보고 종료,광고 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW)
2026-03-17,2026-03-24,260220_이가격에_1,active,KRW,클릭 후 7일 또는 조회 후 1일,,,6837,1.529765,,캠페인 예산 사용,0,215929,진행 중,-,-,-,10459,20645.281576,564,,382.852837,5.392485,610,5.832298,353.981967,524,412.078244
2026-03-17,2026-03-24,260220_킹크랩가격_2,active,KRW,클릭 후 7일 또는 조회 후 1일,,,6895,1.464394,,캠페인 예산 사용,0,176712,진행 중,-,-,-,10097,17501.43607,543,,325.436464,5.377835,589,5.833416,300.020374,507,348.544379
2026-03-17,2026-03-24,260220_이가격에러시아킹크랩_3,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1869,1.206528,,캠페인 예산 사용,0,54944,진행 중,-,-,-,2255,24365.4102,108,,508.740741,4.789357,117,5.18847,469.606838,101,544.000000
2026-03-17,2026-03-24,260220_가격_영상,active,KRW,클릭 후 7일 또는 조회 후 1일,,,16766,1.49153,,캠페인 예산 사용,0,435325,진행 중,-,-,-,25007,17408.125725,1132,,384.562721,4.526733,1191,4.762666,365.512175,1037,419.792671
2026-03-17,2026-03-24,260220_슬라이드,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,29,1,,캠페인 예산 사용,0,603,진행 중,-,-,-,29,20793.103448,1,,603,3.448276,1,3.448276,603,1,603.000000
2026-03-17,2026-03-24,엄마의 한우국_영상,active,KRW,클릭 후 7일 또는 조회 후 1일,,,7,1.142857,,캠페인 예산 사용,0,246,진행 중,-,-,-,8,30750,1,,246,12.5,1,12.5,246,1,246.000000
2026-03-17,2026-03-24,엄마의 한우국_이미지1,active,KRW,클릭 후 7일 또는 조회 후 1일,,,1290,1.378295,,캠페인 예산 사용,0,45234,진행 중,-,-,-,1778,25440.944882,72,,628.25,4.049494,76,4.274466,595.184211,61,741.540984
2026-03-17,2026-03-24,31% 특가 마감임박_이미지3,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,7,1,,캠페인 예산 사용,0,240,진행 중,-,-,-,7,34285.714286,0,,,,0,0,,,
2026-03-17,2026-03-24,냉장고필수템_이미지4,active,KRW,클릭 후 7일 또는 조회 후 1일,,,6228,1.304271,,캠페인 예산 사용,0,220389,진행 중,-,-,-,8123,27131.478518,259,,850.92278,3.188477,304,3.74246,724.963816,249,885.096386
2026-03-17,2026-03-24,건강한 단백질_이미지1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1,1,,캠페인 예산 사용,0,4,진행 중,-,-,-,1,4000,0,,,,0,0,,,
2026-03-17,2026-03-24,실화?_이미지1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,5738,1.330777,,캠페인 예산 사용,0,127719,진행 중,-,-,-,7636,16725.903614,118,,1082.364407,1.545312,135,1.767941,946.066667,108,1182.583333
2026-03-17,2026-03-24,평점_이미지1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,473,1.063425,,캠페인 예산 사용,0,15509,진행 중,-,-,-,503,30833.001988,13,,1193,2.584493,12,2.385686,1292.416667,10,1550.900000
2026-03-17,2026-03-24,피부과달라져요_이미지1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1136,1.134683,,캠페인 예산 사용,0,22524,진행 중,-,-,-,1289,17474.010861,19,,1185.473684,1.474011,20,1.55159,1126.2,13,1732.615385
2026-03-17,2026-03-24,전국 최저가 도전_이미지2,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,43,1,,캠페인 예산 사용,0,1925,진행 중,-,-,-,43,44767.44186,1,,1925,2.325581,1,2.325581,1925,1,1925.000000
2026-03-17,2026-03-24,처음이세요_이미지4,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,16,1.3125,,캠페인 예산 사용,0,307,진행 중,-,-,-,21,14619.047619,1,,307,4.761905,1,4.761905,307,1,307.000000
2026-03-17,2026-03-24,아들아_롱버전_동영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1,1,,캠페인 예산 사용,0,26,진행 중,-,-,-,1,26000,0,,,,0,0,,,
2026-03-17,2026-03-24,솔직히_롱버전_슬라이드,active,KRW,클릭 후 7일 또는 조회 후 1일,,,2775,1.404685,,캠페인 예산 사용,0,105010,진행 중,-,-,-,3898,26939.456131,126,,833.412698,3.232427,233,5.977424,450.686695,101,1039.702970
2026-03-17,2026-03-24,바쁜아침_이미지1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,3,1,,캠페인 예산 사용,0,97,진행 중,-,-,-,3,32333.333333,0,,,,0,0,,,
2026-03-17,2026-03-24,한팩에1400원_이미지1,active,KRW,클릭 후 7일 또는 조회 후 1일,,,1524,1.433071,,캠페인 예산 사용,0,59455,진행 중,-,-,-,2184,27222.985348,78,,762.24359,3.571429,89,4.075092,668.033708,66,900.833333
2026-03-17,2026-03-24,혼밥족필수탬_이미지2,active,KRW,클릭 후 7일 또는 조회 후 1일,,,6236,1.46889,,캠페인 예산 사용,0,247049,진행 중,-,-,-,9160,26970.414847,356,,693.957865,3.886463,403,4.399563,613.024814,313,789.293930
2026-03-17,2026-03-24,한팩에1400원_gif,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,12,1,,캠페인 예산 사용,0,220,진행 중,-,-,-,12,18333.333333,0,,,,0,0,,,
2026-03-17,2026-03-24,아침에뭐먹지_gif4,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,3,1,,캠페인 예산 사용,0,26,진행 중,-,-,-,3,8666.666667,0,,,,0,0,,,
2026-03-17,2026-03-24,오늘만특가_gif4,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1,1,,캠페인 예산 사용,0,11,진행 중,-,-,-,1,11000,0,,,,0,0,,,
2026-03-17,2026-03-24,혼밥도_롱버전_이미지1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,10,1,,캠페인 예산 사용,0,236,진행 중,-,-,-,10,23600,0,,,,1,10,236,,
2026-03-17,2026-03-24,한팩에1400원_롱버전_동영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,5,1.2,,캠페인 예산 사용,0,331,진행 중,-,-,-,6,55166.666667,0,,,,0,0,,,
2026-03-17,2026-03-24,엄마의 한우국_슬라이드_260320,active,KRW,클릭 후 7일 또는 조회 후 1일,,,3,1,,캠페인 예산 사용,0,22,진행 중,-,-,-,3,7333.333333,0,,,,0,0,,,
2026-03-17,2026-03-24,한우가격혁명_영상_0320,active,KRW,클릭 후 7일 또는 조회 후 1일,,,3,1.666667,,캠페인 예산 사용,0,213,진행 중,-,-,-,5,42600,0,,,,0,0,,,
2026-03-17,2026-03-24,오늘만특가_이미지1_0320,active,KRW,클릭 후 7일 또는 조회 후 1일,,,24,1,,캠페인 예산 사용,0,812,진행 중,-,-,-,24,33833.333333,3,,270.666667,12.5,3,12.5,270.666667,3,270.666667
2026-03-17,2026-03-24,이가격맞아요?_이미지1_0320 - 사본,active,KRW,클릭 후 7일 또는 조회 후 1일,,,17,1,,캠페인 예산 사용,0,522,진행 중,-,-,-,17,30705.882353,0,,,,0,0,,,
2026-03-17,2026-03-24,쭈꾸미볶음생각_이미지1,active,KRW,클릭 후 7일 또는 조회 후 1일,,,25,1,,캠페인 예산 사용,0,1262,진행 중,-,-,-,25,50480,2,,631,8,2,8,631,2,631.000000
2026-03-17,2026-03-24,신선도_이미지2,active,KRW,클릭 후 7일 또는 조회 후 1일,,,11,1.181818,,캠페인 예산 사용,0,418,진행 중,-,-,-,13,32153.846154,2,,209,15.384615,2,15.384615,209,2,209.000000
2026-03-17,2026-03-24,오늘잡은_이미지3,active,KRW,클릭 후 7일 또는 조회 후 1일,,,40,1.15,,캠페인 예산 사용,0,1189,진행 중,-,-,-,46,25847.826087,3,,396.333333,6.521739,3,6.521739,396.333333,1,1189.000000
2026-03-17,2026-03-24,왜지금먹어야할까요?_gif,active,KRW,클릭 후 7일 또는 조회 후 1일,,,123,1.186992,,캠페인 예산 사용,0,3297,진행 중,-,-,-,146,22582.191781,9,,366.333333,6.164384,10,6.849315,329.7,8,412.125000
2026-03-17,2026-03-24,이가격에_롱버전_이미지1,active,KRW,클릭 후 7일 또는 조회 후 1일,,,18,1.055556,,캠페인 예산 사용,0,537,진행 중,-,-,-,19,28263.157895,4,,134.25,21.052632,4,21.052632,134.25,4,134.250000
2026-03-17,2026-03-24,오늘아침에_롱버전_동영상,active,KRW,클릭 후 7일 또는 조회 후 1일,,,238,1.130252,,캠페인 예산 사용,0,9726,진행 중,-,-,-,269,36156.133829,22,,442.090909,8.178439,23,8.550186,422.869565,20,486.300000
2026-03-17,2026-03-24,냉동쭈꾸미비교_롱버전_동영상,active,KRW,클릭 후 7일 또는 조회 후 1일,,,3063,1.246164,,캠페인 예산 사용,0,93621,진행 중,-,-,-,3817,24527.377522,180,,520.116667,4.715745,194,5.082526,482.582474,156,600.134615
2026-03-17,2026-03-24,냉동쭈꾸미비교_롱버전_슬라이딩,active,KRW,클릭 후 7일 또는 조회 후 1일,,,122,1.098361,,캠페인 예산 사용,0,4688,진행 중,-,-,-,134,34985.074627,14,,334.857143,10.447761,14,10.447761,334.857143,9,520.888889
2026-03-17,2026-03-24,쭈꾸미볶음_롱버전_동영상 - 사본,active,KRW,클릭 후 7일 또는 조회 후 1일,,,426,1.08216,,캠페인 예산 사용,0,12782,진행 중,-,-,-,461,27726.681128,20,,639.1,4.338395,21,4.555315,608.666667,19,672.736842
