보고 시작,보고 종료,광고 이름,캠페인 이름,광고 세트 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW)
2026-03-30,2026-04-06,260220_킹크랩가격_2,킹크랩_판매_260220,킹크랩_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,11868,1.412032,,캠페인 예산 사용,0,348234,진행 중,-,-,-,16758,20780.164697,514,,677.498054,3.067192,560,3.341688,621.846429,451,772.137472
2026-03-30,2026-04-06,260220_가격_영상,킹크랩_판매_260220,킹크랩_논타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,16439,1.543099,,캠페인 예산 사용,0,541773,진행 중,-,-,-,25367,21357.393464,882,,614.255102,3.476958,938,3.697718,577.583156,811,668.030826
2026-03-30,2026-04-06,엄마의 한우국_영상,국거리_판매_260310,국거리_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,14,1,,캠페인 예산 사용,0,240,진행 중,-,-,-,14,17142.857143,1,,240,7.142857,1,7.142857,240,1,240.000000
2026-03-30,2026-04-06,엄마의 한우국_이미지1,국거리_판매_260310,국거리_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,3138,1.348948,,캠페인 예산 사용,0,100236,진행 중,-,-,-,4233,23679.659816,82,,1222.390244,1.93716,94,2.220647,1066.340426,68,1474.058824
2026-03-30,2026-04-06,냉장고필수템_이미지4,국거리_판매_260310,국거리_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,3264,1.211091,,캠페인 예산 사용,0,118810,진행 중,-,-,-,3953,30055.653934,89,,1334.94382,2.251455,100,2.529724,1188.1,79,1503.924051
2026-03-30,2026-04-06,이가격에_롱버전_이미지1,쭈꾸미_판매_260320,쭈꾸미_논타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,605,1.373554,,캠페인 예산 사용,0,31255,진행 중,-,-,-,831,37611.311673,52,,601.057692,6.257521,57,6.859206,548.333333,52,601.057692
2026-03-30,2026-04-06,오늘아침에_롱버전_동영상,쭈꾸미_판매_260320,쭈꾸미_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,132,1.19697,,캠페인 예산 사용,0,3996,진행 중,-,-,-,158,25291.139241,22,,181.636364,13.924051,15,9.493671,266.4,17,235.058824
2026-03-30,2026-04-06,냉동쭈꾸미비교_롱버전_동영상,쭈꾸미_판매_260320,쭈꾸미_논타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,1364,1.45088,,캠페인 예산 사용,0,57736,진행 중,-,-,-,1979,29174.33047,205,,281.639024,10.358767,174,8.792319,331.816092,142,406.591549
2026-03-30,2026-04-06,쭈꾸미볶음_롱버전_동영상 - 사본,쭈꾸미_판매_260320,쭈꾸미_논타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,10066,1.532287,,캠페인 예산 사용,0,458323,진행 중,-,-,-,15424,29714.924793,782,,586.090793,5.070021,763,4.946836,600.685452,662,692.330816
2026-03-30,2026-04-06,260327_가격_단일이미지,대게_판매_260327,대게_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1288,1.340839,,캠페인 예산 사용,0,32461,진행 중,-,-,-,1727,18796.178344,49,,662.469388,2.83729,50,2.895194,649.22,34,954.735294
2026-03-30,2026-04-06,260327_산지직송_단일이미지,대게_판매_260327,대게_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1,1,,캠페인 예산 사용,0,82,진행 중,-,-,-,1,82000,0,,,,0,0,,,
2026-03-30,2026-04-06,260327_리뷰_단일이미지,대게_판매_260327,대게_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,4834,1.608813,,캠페인 예산 사용,0,150860,진행 중,-,-,-,7777,19398.225537,288,,523.819444,3.703227,390,5.014787,386.820513,202,746.831683
2026-03-30,2026-04-06,돔베고기기획전_이미지1,돔베고기_판매_260330,돔베고기_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,4176,1.376437,,캠페인 예산 사용,0,162630,진행 중,-,-,-,5748,28293.319415,124,,1311.532258,2.157272,141,2.453027,1153.404255,114,1426.578947
2026-03-30,2026-04-06,돔베고기기획전_이미지2,돔베고기_판매_260330,돔베고기_논타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,256,1.28125,,캠페인 예산 사용,0,14161,진행 중,-,-,-,328,43173.780488,13,,1089.307692,3.963415,11,3.353659,1287.363636,11,1287.363636
