보고 시작,보고 종료,광고 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW)
2026-03-23,2026-03-24,눈으로봐도_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,4078,1.041932,,캠페인 예산 사용,0,27235,진행 중,-,-,-,4249,6409.743469,528,,51.581439,12.426453,611,14.379854,44.574468,483,56.387164
2026-03-23,2026-03-24,지금당장_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,199,1.015075,,캠페인 예산 사용,0,1452,진행 중,-,-,-,202,7188.118812,25,,58.08,12.376238,30,14.851485,48.4,21,69.142857
2026-03-23,2026-03-24,띠링_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,640,1.034375,,캠페인 예산 사용,0,4424,진행 중,-,-,-,662,6682.779456,85,,52.047059,12.839879,93,14.048338,47.569892,74,59.783784
2026-03-23,2026-03-24,거기진짜_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,158,1,,캠페인 예산 사용,0,925,진행 중,-,-,-,158,5854.43038,20,,46.25,12.658228,24,15.189873,38.541667,19,48.684211
2026-03-23,2026-03-24,묵직한_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1785,1,,캠페인 예산 사용,0,11332,진행 중,-,-,-,1785,6348.459384,247,,45.878543,13.837535,249,13.94958,45.51004,217,52.221198
2026-03-23,2026-03-24,주부들_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,152,1.006579,,캠페인 예산 사용,0,868,진행 중,-,-,-,153,5673.202614,5,,173.6,3.267974,11,7.189542,78.909091,7,124.000000
2026-03-23,2026-03-24,묵직한_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,3513,1.020211,,캠페인 예산 사용,0,20401,진행 중,-,-,-,3584,5692.243304,395,,51.648101,11.021205,437,12.19308,46.684211,352,57.957386
2026-03-23,2026-03-24,묵직한_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1556,1.020566,,캠페인 예산 사용,0,8356,진행 중,-,-,-,1588,5261.964736,186,,44.924731,11.712846,205,12.90932,40.760976,170,49.152941
2026-03-23,2026-03-24,주부들_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,2014,1.014896,,캠페인 예산 사용,0,11200,진행 중,-,-,-,2044,5479.452055,264,,42.424242,12.915851,281,13.747554,39.857651,242,46.280992
2026-03-23,2026-03-24,주부들_롱버전_영상1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,521,1.003839,,캠페인 예산 사용,0,2814,진행 중,-,-,-,523,5380.497132,64,,43.96875,12.237094,64,12.237094,43.96875,57,49.368421
2026-03-23,2026-03-24,주부들_롱버전_영상2,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,132,1.007576,,캠페인 예산 사용,0,692,진행 중,-,-,-,133,5203.007519,17,,40.705882,12.781955,18,13.533835,38.444444,13,53.230769
2026-03-23,2026-03-24,d_주부들_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,14,1,,캠페인 예산 사용,0,72,진행 중,-,-,-,14,5142.857143,5,,14.4,35.714286,6,42.857143,12,3,24.000000
2026-03-23,2026-03-24,d_매일장보러_영상_1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,15,1,,캠페인 예산 사용,0,63,진행 중,-,-,-,15,4200,1,,63,6.666667,1,6.666667,63,1,63.000000
2026-03-23,2026-03-24,d_띠링_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,10,1,,캠페인 예산 사용,0,62,진행 중,-,-,-,10,6200,0,,,,0,0,,,
2026-03-23,2026-03-24,d_거기진짜_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1358,1.035346,,캠페인 예산 사용,0,8262,진행 중,-,-,-,1406,5876.244666,145,,56.97931,10.312945,173,12.30441,47.757225,140,59.014286
2026-03-23,2026-03-24,d_거기진짜_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,947,1.008448,,캠페인 예산 사용,0,5519,진행 중,-,-,-,955,5779.057592,121,,45.61157,12.670157,126,13.193717,43.801587,122,45.237705
2026-03-23,2026-03-24,d_묵직한_영상1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,129,1.03876,,캠페인 예산 사용,0,724,진행 중,-,-,-,134,5402.985075,13,,55.692308,9.701493,15,11.19403,48.266667,12,60.333333
2026-03-23,2026-03-24,d_주부들_롱버전_영상1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,838,1.046539,,캠페인 예산 사용,0,5669,진행 중,-,-,-,877,6464.082098,96,,59.052083,10.946408,110,12.542759,51.536364,87,65.160920
