보고 시작,보고 종료,광고 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW)
2026-03-17,2026-03-24,묵직한_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,0,0,,캠페인 예산 사용,0,0,진행 중,-,-,-,0,0,0,,,,0,0,,1,0.000000
2026-03-17,2026-03-24,눈으로봐도_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,24630,1.129801,,캠페인 예산 사용,0,173701,진행 중,-,-,-,27827,6242.174866,3880,,44.768299,13.943292,4528,16.271966,38.361528,3426,50.700817
2026-03-17,2026-03-24,지금당장_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,3554,1.078222,,캠페인 예산 사용,0,26196,진행 중,-,-,-,3832,6836.11691,517,,50.669246,13.491649,589,15.370564,44.475382,478,54.803347
2026-03-17,2026-03-24,띠링_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,8112,1.0482,,캠페인 예산 사용,0,60583,진행 중,-,-,-,8503,7124.897095,1274,,47.553375,14.982947,1409,16.570622,42.997161,1143,53.003500
2026-03-17,2026-03-24,거기진짜_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,2495,1.011623,,캠페인 예산 사용,0,16660,진행 중,-,-,-,2524,6600.633914,357,,46.666667,14.144216,379,15.015848,43.957784,326,51.104294
2026-03-17,2026-03-24,묵직한_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,12411,1,,캠페인 예산 사용,0,72992,진행 중,-,-,-,12411,5881.234389,1938,,37.663571,15.61518,2003,16.138909,36.441338,1745,41.829226
2026-03-17,2026-03-24,주부들_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,7712,1.109829,,캠페인 예산 사용,0,49267,진행 중,-,-,-,8559,5756.163103,1048,,47.010496,12.244421,1196,13.973595,41.193144,775,63.570323
2026-03-17,2026-03-24,띠링_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,18,1,,캠페인 예산 사용,0,89,진행 중,-,-,-,18,4944.444444,0,,,,0,0,,,
2026-03-17,2026-03-24,묵직한_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,37058,1.171164,,캠페인 예산 사용,0,257099,진행 중,-,-,-,43401,5923.803599,5881,,43.716885,13.550379,6827,15.730052,37.659148,5293,48.573399
2026-03-17,2026-03-24,눈으로봐도_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,64,1.046875,,캠페인 예산 사용,0,344,진행 중,-,-,-,67,5134.328358,2,,172,2.985075,3,4.477612,114.666667,2,172.000000
2026-03-17,2026-03-24,거기진짜_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,3,1,,캠페인 예산 사용,0,9,진행 중,-,-,-,3,3000,0,,,,0,0,,,
2026-03-17,2026-03-24,지금당장_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,66,1.090909,,캠페인 예산 사용,0,352,진행 중,-,-,-,72,4888.888889,7,,50.285714,9.722222,7,9.722222,50.285714,6,58.666667
2026-03-17,2026-03-24,묵직한_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,12258,1.146272,,캠페인 예산 사용,0,75290,진행 중,-,-,-,14051,5358.337485,1863,,40.413312,13.258843,1928,13.721443,39.05083,1715,43.900875
2026-03-17,2026-03-24,띠링_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,54,1,,캠페인 예산 사용,0,497,진행 중,-,-,-,54,9203.703704,10,,49.7,18.518519,10,18.518519,49.7,6,82.833333
2026-03-17,2026-03-24,지금당장_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,27,1,,캠페인 예산 사용,0,173,진행 중,-,-,-,27,6407.407407,5,,34.6,18.518519,8,29.62963,21.625,3,57.666667
2026-03-17,2026-03-24,주부들_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,17333,1.226274,,캠페인 예산 사용,0,118757,진행 중,-,-,-,21255,5587.250059,2984,,39.797922,14.03905,3150,14.820042,37.700635,2716,43.724963
2026-03-17,2026-03-24,묵직한_영상2,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,59,1.016949,,캠페인 예산 사용,0,288,진행 중,-,-,-,60,4800,9,,32,15,9,15,32,9,32.000000
2026-03-17,2026-03-24,주부들_롱버전_영상1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,3215,1.052566,,캠페인 예산 사용,0,18783,진행 중,-,-,-,3384,5550.531915,505,,37.194059,14.923168,541,15.986998,34.719039,468,40.134615
2026-03-17,2026-03-24,주부들_롱버전_영상2,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,10585,1.12565,,캠페인 예산 사용,0,75827,진행 중,-,-,-,11915,6363.994964,1678,,45.188915,14.083089,1891,15.870751,40.098889,1508,50.283156
2026-03-17,2026-03-24,지금당장_롱버전_영상1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,271,1.01476,,캠페인 예산 사용,0,1690,진행 중,-,-,-,275,6145.454545,40,,42.25,14.545455,41,14.909091,41.219512,37,45.675676
2026-03-17,2026-03-24,d_주부들_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,302,1.05298,,캠페인 예산 사용,0,1870,진행 중,-,-,-,318,5880.503145,41,,45.609756,12.893082,48,15.09434,38.958333,35,53.428571
2026-03-17,2026-03-24,d_매일장보러_영상_1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,210,1.02381,,캠페인 예산 사용,0,1047,진행 중,-,-,-,215,4869.767442,21,,49.857143,9.767442,23,10.697674,45.521739,19,55.105263
2026-03-17,2026-03-24,d_띠링_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,260,1.038462,,캠페인 예산 사용,0,1591,진행 중,-,-,-,270,5892.592593,26,,61.192308,9.62963,29,10.740741,54.862069,25,63.640000
