보고 시작,보고 종료,광고 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW)
2026-03-23,2026-03-30,눈으로봐도_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,8063,1.037827,,캠페인 예산 사용,0,54344,진행 중,-,-,-,8368,6494.263862,1052,,51.657795,12.571702,1199,14.328394,45.324437,955,56.904712
2026-03-23,2026-03-30,지금당장_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,425,1.032941,,캠페인 예산 사용,0,2954,진행 중,-,-,-,439,6728.929385,47,,62.851064,10.70615,53,12.072893,55.735849,43,68.697674
2026-03-23,2026-03-30,띠링_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1560,1.054487,,캠페인 예산 사용,0,11211,진행 중,-,-,-,1645,6815.197568,219,,51.191781,13.31307,231,14.042553,48.532468,207,54.159420
2026-03-23,2026-03-30,거기진짜_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,158,1,,캠페인 예산 사용,0,925,진행 중,-,-,-,158,5854.43038,20,,46.25,12.658228,24,15.189873,38.541667,19,48.684211
2026-03-23,2026-03-30,묵직한_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,8796,1.004889,,캠페인 예산 사용,0,58275,진행 중,-,-,-,8839,6592.940378,1206,,48.320896,13.644077,1218,13.779839,47.844828,1085,53.709677
2026-03-23,2026-03-30,주부들_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,152,1.006579,,캠페인 예산 사용,0,868,진행 중,-,-,-,153,5673.202614,5,,173.6,3.267974,11,7.189542,78.909091,7,124.000000
2026-03-23,2026-03-30,묵직한_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,3521,1.019597,,캠페인 예산 사용,0,20434,진행 중,-,-,-,3590,5691.922006,397,,51.471033,11.058496,440,12.256267,46.440909,354,57.723164
2026-03-23,2026-03-30,묵직한_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1558,1.019897,,캠페인 예산 사용,0,8370,진행 중,-,-,-,1589,5267.463814,187,,44.759358,11.768408,206,12.964128,40.631068,171,48.947368
2026-03-23,2026-03-30,주부들_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,2015,1.015385,,캠페인 예산 사용,0,11218,진행 중,-,-,-,2046,5482.893451,264,,42.492424,12.903226,281,13.734115,39.921708,242,46.355372
2026-03-23,2026-03-30,주부들_롱버전_영상1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,521,1.003839,,캠페인 예산 사용,0,2814,진행 중,-,-,-,523,5380.497132,64,,43.96875,12.237094,64,12.237094,43.96875,57,49.368421
2026-03-23,2026-03-30,주부들_롱버전_영상2,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,132,1.007576,,캠페인 예산 사용,0,692,진행 중,-,-,-,133,5203.007519,17,,40.705882,12.781955,18,13.533835,38.444444,13,53.230769
2026-03-23,2026-03-30,d_주부들_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,14,1,,캠페인 예산 사용,0,72,진행 중,-,-,-,14,5142.857143,5,,14.4,35.714286,6,42.857143,12,4,18.000000
2026-03-23,2026-03-30,d_매일장보러_영상_1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,15,1,,캠페인 예산 사용,0,63,진행 중,-,-,-,15,4200,1,,63,6.666667,1,6.666667,63,1,63.000000
2026-03-23,2026-03-30,d_띠링_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,10,1,,캠페인 예산 사용,0,62,진행 중,-,-,-,10,6200,0,,,,0,0,,,
2026-03-23,2026-03-30,d_거기진짜_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1360,1.034559,,캠페인 예산 사용,0,8266,진행 중,-,-,-,1407,5874.911158,145,,57.006897,10.305615,173,12.295665,47.780347,140,59.042857
2026-03-23,2026-03-30,d_거기진짜_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,947,1.008448,,캠페인 예산 사용,0,5519,진행 중,-,-,-,955,5779.057592,121,,45.61157,12.670157,126,13.193717,43.801587,122,45.237705
