보고 시작,보고 종료,광고 이름,캠페인 이름,광고 세트 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW)
2026-03-25,2026-03-26,눈으로봐도_영상,광주_지역광고_260313_카페,광주지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,979,1.010215,,캠페인 예산 사용,0,6173,진행 중,-,-,-,989,6241.658241,128,,48.226563,12.942366,157,15.874621,39.318471,116,53.215517
2026-03-25,2026-03-26,지금당장_롱버전_영상,광주_지역광고_260313_카페,광주지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,48,1.020833,,캠페인 예산 사용,0,243,진행 중,-,-,-,49,4959.183673,2,,121.5,4.081633,2,4.081633,121.5,2,121.500000
2026-03-25,2026-03-26,띠링_영상,광주_지역광고_260313_카페,광주지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,264,1.007576,,캠페인 예산 사용,0,1880,진행 중,-,-,-,266,7067.669173,35,,53.714286,13.157895,37,13.909774,50.810811,33,56.969697
2026-03-25,2026-03-26,묵직한_영상,광주_지역광고_260313_카페,광주지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,3848,1,,캠페인 예산 사용,0,24717,진행 중,-,-,-,3848,6423.336798,505,,48.944554,13.123701,513,13.331601,48.181287,462,53.500000
2026-03-25,2026-03-26,거기진짜_롱버전_영상3,울산_지역광고_260324_카페,울산지역_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,4,1,,캠페인 예산 사용,0,13,진행 중,-,-,-,4,3250,1,,13,25,1,25,13,1,13.000000
2026-03-25,2026-03-26,마트카트_영상_1최종,울산_지역광고_260324_카페,울산지역_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,11,1.090909,,캠페인 예산 사용,0,62,진행 중,-,-,-,12,5166.666667,2,,31,16.666667,2,16.666667,31,2,31.000000
2026-03-25,2026-03-26,묵직한_영상2,울산_지역광고_260324_카페,울산지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,6929,1.044162,,캠페인 예산 사용,0,49859,진행 중,-,-,-,7235,6891.361437,1255,,39.728287,17.346234,1275,17.622668,39.105098,1209,41.239868
2026-03-25,2026-03-26,지금당장_롱버전_영상1,울산_지역광고_260324_카페,울산지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1048,1.04771,,캠페인 예산 사용,0,5866,진행 중,-,-,-,1098,5342.440801,134,,43.776119,12.204007,145,13.205829,40.455172,119,49.294118
2026-03-25,2026-03-26,눈으로봐도_영상,울산_지역광고_260324_카페,울산지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1886,1.081654,,캠페인 예산 사용,0,13121,진행 중,-,-,-,2040,6431.862745,366,,35.849727,17.941176,400,19.607843,32.8025,347,37.812680
2026-03-25,2026-03-26,마트카트_영상_27화장품_미친특가_2차,울산_지역광고_260324_카페,울산지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,82,1,,캠페인 예산 사용,0,559,진행 중,-,-,-,82,6817.073171,0,,,,0,0,,,
2026-03-25,2026-03-26,마트카트_영상_14-1_2차,울산_지역광고_260324_카페,울산지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,7,1,,캠페인 예산 사용,0,24,진행 중,-,-,-,7,3428.571429,0,,,,0,0,,,
2026-03-25,2026-03-26,주부들_롱버전_영상,울산_지역광고_260324_카페,울산지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,81,1.012346,,캠페인 예산 사용,0,480,진행 중,-,-,-,82,5853.658537,15,,32,18.292683,16,19.512195,30,12,40.000000
2026-03-25,2026-03-26,마트카트_영상2,울산_지역광고_260324_카페,울산지역_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,7,1.142857,,캠페인 예산 사용,0,34,진행 중,-,-,-,8,4250,1,,34,12.5,1,12.5,34,1,34.000000
2026-03-25,2026-03-26,YS_묵직한_영상,여수_지역광고_260325_카페,여수지역_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,1347,1.007424,,캠페인 예산 사용,0,13080,진행 중,-,-,-,1357,9638.909359,31,,421.935484,2.284451,37,2.726603,353.513514,31,421.935484
2026-03-25,2026-03-26,YS_지금당장_롱버전_영상,여수_지역광고_260325_카페,여수지역_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,28,1,,캠페인 예산 사용,0,149,진행 중,-,-,-,28,5321.428571,0,,,,0,0,,,
2026-03-25,2026-03-26,YS_눈으로봐도_영상,여수_지역광고_260325_카페,여수지역_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,2512,1.105494,,캠페인 예산 사용,0,24119,진행 중,-,-,-,2777,8685.271876,396,,60.906566,14.259993,493,17.752971,48.922921,368,65.540761
2026-03-25,2026-03-26,YS_거기진짜_영상2,여수_지역광고_260325_카페,여수지역_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,775,1.052903,,캠페인 예산 사용,0,6320,진행 중,-,-,-,816,7745.098039,70,,90.285714,8.578431,84,10.294118,75.238095,60,105.333333
2026-03-25,2026-03-26,YS_띠링_영상2,여수_지역광고_260325_카페,여수지역_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,172,1.011628,,캠페인 예산 사용,0,1582,진행 중,-,-,-,174,9091.954023,9,,175.777778,5.172414,10,5.747126,158.2,9,175.777778
2026-03-25,2026-03-26,YS_마트카트_영상_13-1최종,여수_지역광고_260325_카페,여수지역_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,1,1,,캠페인 예산 사용,0,12,진행 중,-,-,-,1,12000,0,,,,0,0,,,
2026-03-25,2026-03-26,YS_마트카트_영상_14-1_2차,여수_지역광고_260325_카페,여수지역_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,3,1,,캠페인 예산 사용,0,16,진행 중,-,-,-,3,5333.333333,0,,,,0,0,,,
2026-03-25,2026-03-26,YS_주부들_롱버전_영상1,여수_지역광고_260325_카페,여수지역_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,11,1,,캠페인 예산 사용,0,50,진행 중,-,-,-,11,4545.454545,2,,25,18.181818,3,27.272727,16.666667,1,50.000000
2026-03-25,2026-03-26,YS_마트카트_영상2,여수_지역광고_260325_카페,여수지역_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,1412,1.03966,,캠페인 예산 사용,0,10735,진행 중,-,-,-,1468,7312.6703,226,,47.5,15.395095,228,15.531335,47.083333,186,57.715054
