보고 시작,보고 종료,광고 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (USD),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (USD)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (USD),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (USD),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (USD)
2026-03-23,2026-03-30,251104_실프_감성에어로웨이,active,USD,클릭 후 7일 또는 조회 후 1일,,,13463,1.392335,,캠페인 예산 사용,0,180.03,진행 중,-,-,-,18745,9.604161,890,,0.202281,4.747933,978,5.217391,0.18408,819,0.219817
2026-03-23,2026-03-30,260106_엘리_거실분위기_단일이미지,active,USD,클릭 후 7일 또는 조회 후 1일,,,2680,1.435821,,캠페인 예산 사용,0,53.7,진행 중,-,-,-,3848,13.955301,212,,0.253302,5.509356,225,5.847193,0.238667,202,0.265842
2026-03-23,2026-03-30,250106_실프_오동나무느낌,active,USD,클릭 후 7일 또는 조회 후 1일,,,4379,1.265357,,캠페인 예산 사용,0,58.25,진행 중,-,-,-,5541,10.512543,330,,0.176515,5.955604,395,7.128677,0.147468,316,0.184335
2026-03-23,2026-03-30,260202_엘리_설치한번으로 공간이,active,USD,클릭 후 7일 또는 조회 후 1일,,,101,1.326733,,캠페인 예산 사용,0,2.99,진행 중,-,-,-,134,22.313433,4,,0.7475,2.985075,8,5.970149,0.37375,4,0.747500
2026-03-23,2026-03-30,260202_엘리_날개가다르면,active,USD,클릭 후 7일 또는 조회 후 1일,,,212,1.396226,,캠페인 예산 사용,0,7.59,진행 중,-,-,-,296,25.641892,10,,0.759,3.378378,14,4.72973,0.542143,7,1.084286
2026-03-23,2026-03-30,260304_엘리_인테리어내용_이미지2,active,USD,클릭 후 7일 또는 조회 후 1일,,,7,1.142857,,캠페인 예산 사용,0,0.19,진행 중,-,-,-,8,23.75,1,,0.19,12.5,1,12.5,0.19,,
2026-03-23,2026-03-30,260304_실프_설치한번으로 공간이_이미지4,active,USD,클릭 후 7일 또는 조회 후 1일,,,439,1.494305,,캠페인 예산 사용,0,11.71,진행 중,-,-,-,656,17.85061,30,,0.390333,4.573171,39,5.945122,0.300256,31,0.377742
2026-03-23,2026-03-30,250304_실프_요즘대세는_이미지3,active,USD,클릭 후 7일 또는 조회 후 1일,,,544,1.454044,,캠페인 예산 사용,0,13.28,진행 중,-,-,-,791,16.788875,51,,0.260392,6.447535,58,7.332491,0.228966,47,0.282553
2026-03-23,2026-03-30,260304_실프_인테리어고수_영상,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,15,1.133333,,캠페인 예산 사용,0,0.38,진행 중,-,-,-,17,22.352941,0,,,,1,5.882353,0.38,,
2026-03-23,2026-03-30,260312_엘리_설치한번으로 공간이_이미지1,active,USD,클릭 후 7일 또는 조회 후 1일,,,2673,1.446315,,캠페인 예산 사용,0,46.52,진행 중,-,-,-,3866,12.033109,165,,0.281939,4.267977,202,5.225039,0.230297,162,0.287160
2026-03-23,2026-03-30,260312_엘리_설치한번으로 공간이_이미지2,active,USD,클릭 후 7일 또는 조회 후 1일,,,24,1.125,,캠페인 예산 사용,0,0.35,진행 중,-,-,-,27,12.962963,1,,0.35,3.703704,1,3.703704,0.35,1,0.350000
2026-03-23,2026-03-30,260312_엘리_설치한번으로 공간이_영상,active,USD,클릭 후 7일 또는 조회 후 1일,,,99,1.111111,,캠페인 예산 사용,0,1.8,진행 중,-,-,-,110,16.363636,2,,0.9,1.818182,3,2.727273,0.6,2,0.900000
