보고 시작,보고 종료,광고 이름,캠페인 이름,광고 세트 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (USD),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (USD)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (USD),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (USD),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (USD)
2026-03-01,2026-03-31,251104_실프_감성에어로웨이,251002_실프_실링팬_판매,실프_실링펜_운영1_타겟,active,USD,클릭 후 7일 또는 조회 후 1일,,,41551,1.879522,,캠페인 예산 사용,0,758.13,진행 중,-,-,-,78096,9.707667,3821,,0.198411,4.892696,4246,5.436898,0.178552,3572,0.212242
2026-03-01,2026-03-31,260106_엘리_거실분위기_단일이미지,251126_엘리_실링팬_판매,엘리_실링펜_BtoB_타겟,active,USD,클릭 후 7일 또는 조회 후 1일,,,11740,1.738416,,캠페인 예산 사용,0,270.14,진행 중,-,-,-,20409,13.236317,1038,,0.26025,5.085991,1099,5.384879,0.245805,997,0.270953
2026-03-01,2026-03-31,250106_실프_오동나무느낌,251002_실프_실링팬_판매,실프_실링펜_운영1_타겟,active,USD,클릭 후 7일 또는 조회 후 1일,,,17280,1.580787,,캠페인 예산 사용,0,281.88,진행 중,-,-,-,27316,10.319227,1406,,0.200484,5.147167,1634,5.981842,0.172509,1342,0.210045
2026-03-01,2026-03-31,260106_엘리_화이트톤_단일이미지,251126_엘리_실링팬_판매,엘리_실링펜_BtoB_타겟,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,69,1.188406,,캠페인 예산 사용,0,2.07,진행 중,-,-,-,82,25.243902,3,,0.69,3.658537,3,3.658537,0.69,2,1.035000
2026-03-01,2026-03-31,260202_엘리_설치한번으로 공간이,251126_엘리_실링팬_판매,엘리_실링펜_BtoB_타겟,active,USD,클릭 후 7일 또는 조회 후 1일,,,1483,1.711396,,캠페인 예산 사용,0,46.57,진행 중,-,-,-,2538,18.349094,99,,0.470404,3.900709,111,4.373522,0.41955,90,0.517444
2026-03-01,2026-03-31,260202_엘리_날개가다르면,251126_엘리_실링팬_판매,엘리_실링펜_BtoB_타겟,active,USD,클릭 후 7일 또는 조회 후 1일,,,1634,1.784578,,캠페인 예산 사용,0,59.11,진행 중,-,-,-,2916,20.270919,125,,0.47288,4.286694,152,5.21262,0.388882,110,0.537364
2026-03-01,2026-03-31,260202_엘리_거의들리지않는바람,251126_엘리_실링팬_판매,엘리_실링펜_BtoB_타겟,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,176,1.107955,,캠페인 예산 사용,0,4.44,진행 중,-,-,-,195,22.769231,12,,0.37,6.153846,13,6.666667,0.341538,12,0.370000
2026-03-01,2026-03-31,260304_엘리_인테리어내용_이미지2,251126_엘리_실링팬_판매,엘리_실링펜_BtoB_타겟,active,USD,클릭 후 7일 또는 조회 후 1일,,,162,1.17284,,캠페인 예산 사용,0,4.39,진행 중,-,-,-,190,23.105263,7,,0.627143,3.684211,9,4.736842,0.487778,6,0.731667
2026-03-01,2026-03-31,260304_엘리_거실분위기_영상,251126_엘리_실링팬_판매,엘리_실링펜_BtoB_타겟,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,330,1.221212,,캠페인 예산 사용,0,8.34,진행 중,-,-,-,403,20.694789,13,,0.641538,3.225806,19,4.71464,0.438947,14,0.595714
2026-03-01,2026-03-31,260304_실프_설치한번으로 공간이_이미지4,251002_실프_실링팬_판매,실프_실링펜_운영1_타겟,active,USD,클릭 후 7일 또는 조회 후 1일,,,561,1.566845,,캠페인 예산 사용,0,15.38,진행 중,-,-,-,879,17.497156,41,,0.375122,4.664391,51,5.802048,0.301569,42,0.366190
2026-03-01,2026-03-31,250304_실프_요즘대세는_이미지3,251002_실프_실링팬_판매,실프_실링펜_운영1_타겟,active,USD,클릭 후 7일 또는 조회 후 1일,,,860,1.666279,,캠페인 예산 사용,0,23.35,진행 중,-,-,-,1433,16.294487,85,,0.274706,5.931612,98,6.8388,0.238265,79,0.295570
2026-03-01,2026-03-31,260304_실프_인테리어고수_영상,251002_실프_실링팬_판매,실프_실링펜_운영1_타겟,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,165,1.163636,,캠페인 예산 사용,0,2.8,진행 중,-,-,-,192,14.583333,9,,0.311111,4.6875,11,5.729167,0.254545,7,0.400000
2026-03-01,2026-03-31,260312_엘리_설치한번으로 공간이_이미지1,251126_엘리_실링팬_판매,엘리_실링펜_BtoB_타겟,active,USD,클릭 후 7일 또는 조회 후 1일,,,4824,1.481965,,캠페인 예산 사용,0,86.28,진행 중,-,-,-,7149,12.068821,315,,0.273905,4.406211,373,5.217513,0.231314,300,0.287600
2026-03-01,2026-03-31,260312_엘리_설치한번으로 공간이_이미지2,251126_엘리_실링팬_판매,엘리_실링펜_BtoB_타겟,active,USD,클릭 후 7일 또는 조회 후 1일,,,230,1.204348,,캠페인 예산 사용,0,3.88,진행 중,-,-,-,277,14.00722,8,,0.485,2.888087,9,3.249097,0.431111,8,0.485000
2026-03-01,2026-03-31,260312_엘리_설치한번으로 공간이_영상,251126_엘리_실링팬_판매,엘리_실링펜_BtoB_타겟,active,USD,클릭 후 7일 또는 조회 후 1일,,,327,1.244648,,캠페인 예산 사용,0,6.01,진행 중,-,-,-,407,14.766585,12,,0.500833,2.948403,12,2.948403,0.500833,10,0.601000
2026-03-01,2026-03-31,260313_트래픽광고_기존게시글,260313_인스타홍보,기존게시글_트래픽광고,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,74,1.108108,,캠페인 예산 사용,0,0.46,진행 중,-,-,-,82,5.609756,10,,0.046,12.195122,13,15.853659,0.035385,1,0.460000
2026-03-01,2026-03-31,260313_트래픽광고_기존게시글 - 사본,260313_인스타홍보,기존게시글_트래픽광고,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,97,1.020619,,캠페인 예산 사용,0,0.2,진행 중,-,-,-,99,2.020202,0,,,,0,0,,,
2026-03-01,2026-03-31,260313_트래픽광고_기존게시글 _앨리,260313_인스타홍보,기존게시글_트래픽광고,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,32400,1.24929,,캠페인 예산 사용,0,83.19,진행 중,-,-,-,40477,2.055241,872,,0.095401,2.15431,891,2.20125,0.093367,,
2026-03-01,2026-03-31,260313_트래픽광고_기존게시글,260313_인스타홍보,기존게시글_트래픽광고 _웹사이트_타겟,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,3510,1.161254,,캠페인 예산 사용,0,15.03,진행 중,-,-,-,4076,3.687439,180,,0.0835,4.416094,210,5.15211,0.071571,170,0.088412
2026-03-01,2026-03-31,260313_트래픽광고_기존게시글 - 사본,260313_인스타홍보,기존게시글_트래픽광고 _웹사이트_타겟,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,245,1.085714,,캠페인 예산 사용,0,0.95,진행 중,-,-,-,266,3.571429,9,,0.105556,3.383459,7,2.631579,0.135714,7,0.135714
2026-03-01,2026-03-31,260313_트래픽광고_기존게시글 _앨리,260313_인스타홍보,기존게시글_트래픽광고 _웹사이트_타겟,inactive,USD,클릭 후 7일 또는 조회 후 1일,,,34663,1.472781,,캠페인 예산 사용,0,149.83,진행 중,-,-,-,51051,2.934908,1707,,0.087774,3.343715,1717,3.363303,0.087263,1383,0.108337
