보고 시작,보고 종료,광고 이름,캠페인 이름,광고 세트 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW),리드당_비용
2026-03-01,2026-03-31,260219_롱버젼_이미지2,홍게_판매_260219,홍게_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,0,0.0,,캠페인 예산 사용,0,0,진행 중,-,-,-,0,0.0,0,,,,0,0.0,,,,
2026-03-01,2026-03-31,260219_롱버젼_이미지3,홍게_판매_260219,홍게_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,0,0.0,,캠페인 예산 사용,0,0,진행 중,-,-,-,0,0.0,0,,,,0,0.0,,,,
2026-03-01,2026-03-31,260219_롱버젼_슬라이드,홍게_판매_260219,홍게_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,0,0.0,,캠페인 예산 사용,0,0,진행 중,-,-,-,0,0.0,0,,,,0,0.0,,,,
2026-03-01,2026-03-31,260220_이가격에_1,킹크랩_판매_260220,킹크랩_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,24206,1.794927,,캠페인 예산 사용,0,760017,진행 중,-,-,-,43448,17492.565826,2467,,308.073368,5.678052,2665,6.133769,285.184615,2312.0,328.727076,
2026-03-01,2026-03-31,260220_킹크랩가격_2,킹크랩_판매_260220,킹크랩_논타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,16453,1.730566,,캠페인 예산 사용,0,539829,진행 중,-,-,-,28473,18959.329891,1305,,413.662069,4.583289,1426,5.008253,378.561711,1200.0,449.8575,
2026-03-01,2026-03-31,260220_이가격에러시아킹크랩_3,킹크랩_판매_260220,킹크랩_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,9603,1.39623,,캠페인 예산 사용,0,263906,진행 중,-,-,-,13408,19682.72673,701,,376.470756,5.228222,742,5.53401,355.668464,661.0,399.252648,
2026-03-01,2026-03-31,260220_가격_영상,킹크랩_판매_260220,킹크랩_논타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,32550,1.806237,,캠페인 예산 사용,0,1070986,진행 중,-,-,-,58793,18216.216216,2375,,450.941474,4.039597,2522,4.289626,424.657415,2185.0,490.153776,
2026-03-01,2026-03-31,260220_슬라이드,킹크랩_판매_260220,킹크랩_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,164,1.134146,,캠페인 예산 사용,0,4628,진행 중,-,-,-,186,24881.72043,14,,330.571429,7.526882,17,9.139785,272.235294,11.0,420.727273,
2026-03-01,2026-03-31,260220_특A급_1,킹크랩_판매_260220,킹크랩_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,6006,1.424409,,캠페인 예산 사용,0,161163,진행 중,-,-,-,8555,18838.457043,620,,259.940323,7.247224,648,7.574518,248.708333,595.0,270.862185,
2026-03-01,2026-03-31,멍게기다리셨죠_롱버전_이미지1,멍게_판매_260304,멍게_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,876,1.150685,,캠페인 예산 사용,0,22902,진행 중,-,-,-,1008,22720.238095,29,,789.724138,2.876984,46,4.563492,497.869565,25.0,916.08,
