보고 시작,보고 종료,광고 이름,캠페인 이름,광고 세트 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW),리드당_비용
2026-03-25,2026-03-26,260220_이가격에_1,킹크랩_판매_260220,킹크랩_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,0,0.0,,캠페인 예산 사용,0,0,진행 중,-,-,-,0,0.0,0,,,,0,0.0,,,,
2026-03-25,2026-03-26,260220_킹크랩가격_2,킹크랩_판매_260220,킹크랩_논타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,2559,1.208675,,캠페인 예산 사용,0,51782,진행 중,-,-,-,3093,16741.674749,128,,404.546875,4.138377,147,4.752667,352.258503,116.0,446.396552,
2026-03-25,2026-03-26,260220_가격_영상,킹크랩_판매_260220,킹크랩_논타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,6075,1.21679,,캠페인 예산 사용,0,128776,진행 중,-,-,-,7392,17420.995671,277,,464.895307,3.747294,288,3.896104,447.138889,253.0,508.996047,
2026-03-25,2026-03-26,엄마의 한우국_영상,국거리_판매_260310,국거리_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,1,1.0,,캠페인 예산 사용,0,1,진행 중,-,-,-,1,1000.0,0,,,,0,0.0,,,,
2026-03-25,2026-03-26,엄마의 한우국_이미지1,국거리_판매_260310,국거리_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,1133,1.193292,,캠페인 예산 사용,0,26258,진행 중,-,-,-,1352,19421.597633,27,,972.518519,1.997041,31,2.292899,847.032258,25.0,1050.32,
2026-03-25,2026-03-26,냉장고필수템_이미지4,국거리_판매_260310,국거리_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,1967,1.107778,,캠페인 예산 사용,0,61491,진행 중,-,-,-,2179,28219.825608,46,,1336.76087,2.11106,47,2.156953,1308.319149,40.0,1537.275,
2026-03-25,2026-03-26,실화?_이미지1,한우우족_판매_260312,한우우족_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,876,1.291096,,캠페인 예산 사용,0,25382,진행 중,-,-,-,1131,22442.086649,21,,1208.666667,1.856764,26,2.298851,976.230769,18.0,1410.111111,
2026-03-25,2026-03-26,솔직히_롱버전_슬라이드,한우우족_판매_260312,한우우족_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,219,1.141553,,캠페인 예산 사용,0,6634,진행 중,-,-,-,250,26536.0,9,,737.111111,3.6,13,5.2,510.307692,7.0,947.714286,
2026-03-25,2026-03-26,한팩에1400원_이미지1,곰탕_판매_260312,곰탕_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,0,0.0,,캠페인 예산 사용,0,0,진행 중,-,-,-,0,0.0,0,,,,0,0.0,,,,
2026-03-25,2026-03-26,혼밥족필수탬_이미지2,곰탕_판매_260312,곰탕_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,926,1.267819,,캠페인 예산 사용,0,31188,진행 중,-,-,-,1174,26565.587734,21,,1485.142857,1.788756,31,2.640545,1006.064516,16.0,1949.25,
2026-03-25,2026-03-26,오늘잡은_이미지3,쭈꾸미_판매_260320,쭈꾸미_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,8,1.0,,캠페인 예산 사용,0,386,진행 중,-,-,-,8,48250.0,0,,,,0,0.0,,,,
2026-03-25,2026-03-26,이가격에_롱버전_이미지1,쭈꾸미_판매_260320,쭈꾸미_논타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,21,1.190476,,캠페인 예산 사용,0,836,진행 중,-,-,-,25,33440.0,1,,836.0,4.0,2,8.0,418.0,1.0,836.0,
2026-03-25,2026-03-26,오늘아침에_롱버전_동영상,쭈꾸미_판매_260320,쭈꾸미_논타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,80,1.05,,캠페인 예산 사용,0,2533,진행 중,-,-,-,84,30154.761905,5,,506.6,5.952381,5,5.952381,506.6,5.0,506.6,
2026-03-25,2026-03-26,냉동쭈꾸미비교_롱버전_동영상,쭈꾸미_판매_260320,쭈꾸미_논타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,296,1.152027,,캠페인 예산 사용,0,12677,진행 중,-,-,-,341,37175.953079,34,,372.852941,9.970674,40,11.730205,316.925,34.0,372.852941,
2026-03-25,2026-03-26,냉동쭈꾸미비교_롱버전_슬라이딩,쭈꾸미_판매_260320,쭈꾸미_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,53,1.075472,,캠페인 예산 사용,0,1738,진행 중,-,-,-,57,30491.22807,5,,347.6,8.77193,7,12.280702,248.285714,5.0,347.6,
2026-03-25,2026-03-26,쭈꾸미볶음_롱버전_동영상 - 사본,쭈꾸미_판매_260320,쭈꾸미_논타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,1266,1.21643,,캠페인 예산 사용,0,50886,진행 중,-,-,-,1540,33042.857143,86,,591.697674,5.584416,97,6.298701,524.597938,81.0,628.222222,
