보고 시작,보고 종료,광고 이름,캠페인 이름,광고 세트 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW),리드당_비용
2026-03-01,2026-03-31,창고대방출_긴문장_이미지1,카페24_트래픽_260209,트래픽광고_카페24,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,4501,1.107087,,캠페인 예산 사용,0,37163,진행 중,-,-,-,4983,7457.957054,390,,95.289744,7.82661,394,7.906883,94.322335,358.0,103.807263,
2026-03-01,2026-03-31,창고대방출_긴문장_이미지3,카페24_트래픽_260209,트래픽광고_카페24,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,3,1.0,,캠페인 예산 사용,0,42,진행 중,-,-,-,3,14000.0,0,,,,0,0.0,,,,
2026-03-01,2026-03-31,창고대방출_긴문장_영상1,카페24_트래픽_260209,트래픽광고_카페24,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,23,1.0,,캠페인 예산 사용,0,237,진행 중,-,-,-,23,10304.347826,5,,47.4,21.73913,5,21.73913,47.4,2.0,118.5,
2026-03-01,2026-03-31,창고대방출_긴문장_영상2,카페24_트래픽_260209,트래픽광고_카페24,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,37350,1.33336,,캠페인 예산 사용,0,423334,진행 중,-,-,-,49801,8500.512038,2003,,211.349975,4.022008,2246,4.50995,188.483526,1855.0,228.212399,
2026-03-01,2026-03-31,창고대방출_긴문장_이미지1,방송용(수목_금토)_트래픽_260301,트래픽_260301_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,668,1.043413,,캠페인 예산 사용,0,8255,진행 중,-,-,-,697,11843.615495,58,,142.327586,8.321377,57,8.177905,144.824561,49.0,168.469388,
2026-03-01,2026-03-31,창고대방출_긴문장_영상2_,방송용(수목_금토)_트래픽_260301,트래픽_260301_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,25768,1.288847,,캠페인 예산 사용,0,270022,진행 중,-,-,-,33211,8130.498931,1185,,227.866667,3.568095,1386,4.173316,194.821068,1093.0,247.046661,
2026-03-01,2026-03-31,창고대방출_짧은문장_영상2,방송용(수목_금토)_트래픽_260301,트래픽_260301_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1159,1.042278,,캠페인 예산 사용,0,9215,진행 중,-,-,-,1208,7628.311258,34,,271.029412,2.81457,42,3.476821,219.404762,32.0,287.96875,
2026-03-01,2026-03-31,창고대방출_짧은문장_이미지1,방송용(수목_금토)_트래픽_260301,트래픽_260301_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,112,1.008929,,캠페인 예산 사용,0,1078,진행 중,-,-,-,113,9539.823009,3,,359.333333,2.654867,5,4.424779,215.6,3.0,359.333333,
2026-03-01,2026-03-31,창고대방출_짧은문장_입구컷_이미지1,방송용(수목_금토)_트래픽_260301,트래픽_260301_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,535,1.041122,,캠페인 예산 사용,0,5673,진행 중,-,-,-,557,10184.91921,28,,202.607143,5.02693,33,5.924596,171.909091,26.0,218.192308,
2026-03-01,2026-03-31,띠링_영상2,카페24_트래픽_260209,트래픽광고_카페24,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,7,1.0,,캠페인 예산 사용,0,81,진행 중,-,-,-,7,11571.428571,0,,,,0,0.0,,,,
2026-03-01,2026-03-31,묵직한택배박스_영상2,카페24_트래픽_260209,트래픽광고_카페24,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,2244,1.043672,,캠페인 예산 사용,0,19659,진행 중,-,-,-,2342,8394.1076,72,,273.041667,3.074295,94,4.013664,209.138298,67.0,293.41791,
2026-03-01,2026-03-31,눈으로봐도_영상2,카페24_트래픽_260209,트래픽광고_카페24,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,3038,1.068795,,캠페인 예산 사용,0,25818,진행 중,-,-,-,3247,7951.339698,121,,213.371901,3.726517,130,4.003696,198.6,113.0,228.477876,
2026-03-01,2026-03-31,아직도정가_영상2,카페24_트래픽_260209,트래픽광고_카페24,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1,1.0,,캠페인 예산 사용,0,12,진행 중,-,-,-,1,12000.0,0,,,,0,0.0,,,,
2026-03-01,2026-03-31,창고대방출_긴문장_창고방출90%_영상,카페24_트래픽_260209,트래픽광고_카페24,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,20,1.0,,캠페인 예산 사용,0,254,진행 중,-,-,-,20,12700.0,4,,63.5,20.0,4,20.0,63.5,4.0,63.5,
2026-03-01,2026-03-31,거기진짜_긴문장_중간유통마진다빼고_영상,카페24_트래픽_260209,트래픽광고_카페24,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,126,1.015873,,캠페인 예산 사용,0,816,진행 중,-,-,-,128,6375.0,6,,136.0,4.6875,6,4.6875,136.0,6.0,136.0,
2026-03-01,2026-03-31,거기진짜_긴문장_거기진짜_영상,카페24_트래픽_260209,트래픽광고_카페24,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,12119,1.105784,,캠페인 예산 사용,0,93528,진행 중,-,-,-,13401,6979.180658,1056,,88.568182,7.880009,1151,8.588911,81.258036,994.0,94.092555,
2026-03-01,2026-03-31,거기진짜_긴문장_최대90%할인_영상,카페24_트래픽_260209,트래픽광고_카페24,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,9,1.0,,캠페인 예산 사용,0,64,진행 중,-,-,-,9,7111.111111,0,,,,0,0.0,,,,
2026-03-01,2026-03-31,띠링_영상,서울_지역광고_260310,서울지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,486,1.004115,,캠페인 예산 사용,0,3426,진행 중,-,-,-,488,7020.491803,42,,81.571429,8.606557,42,8.606557,81.571429,37.0,92.594595,
2026-03-01,2026-03-31,묵직한_영상,서울_지역광고_260310,서울지역_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,10508,1.043396,,캠페인 예산 사용,0,69992,진행 중,-,-,-,10964,6383.801532,935,,74.857754,8.52791,1024,9.339657,68.351563,868.0,80.635945,
