보고 시작,보고 종료,광고 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW),리드당_비용
2026-03-23,2026-03-24,눈으로봐도_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,4040,1.041089,,캠페인 예산 사용,0,26933,진행 중,-,-,-,4206,6403.471232,520,,51.794231,12.363291,605,14.384213,44.517355,479.0,56.227557,
2026-03-23,2026-03-24,지금당장_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,196,1.02551,,캠페인 예산 사용,0,1445,진행 중,-,-,-,201,7189.054726,24,,60.208333,11.940299,30,14.925373,48.166667,21.0,68.809524,
2026-03-23,2026-03-24,띠링_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,635,1.03937,,캠페인 예산 사용,0,4412,진행 중,-,-,-,660,6684.848485,85,,51.905882,12.878788,92,13.939394,47.956522,74.0,59.621622,
2026-03-23,2026-03-24,거기진짜_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,158,1.0,,캠페인 예산 사용,0,925,진행 중,-,-,-,158,5854.43038,20,,46.25,12.658228,24,15.189873,38.541667,19.0,48.684211,
2026-03-23,2026-03-24,묵직한_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1785,1.0,,캠페인 예산 사용,0,11332,진행 중,-,-,-,1785,6348.459384,247,,45.878543,13.837535,249,13.94958,45.51004,217.0,52.221198,
2026-03-23,2026-03-24,주부들_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,152,1.006579,,캠페인 예산 사용,0,868,진행 중,-,-,-,153,5673.202614,5,,173.6,3.267974,11,7.189542,78.909091,7.0,124.0,
2026-03-23,2026-03-24,묵직한_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,3513,1.020211,,캠페인 예산 사용,0,20401,진행 중,-,-,-,3584,5692.243304,395,,51.648101,11.021205,437,12.19308,46.684211,352.0,57.957386,
2026-03-23,2026-03-24,묵직한_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1556,1.020566,,캠페인 예산 사용,0,8356,진행 중,-,-,-,1588,5261.964736,186,,44.924731,11.712846,205,12.90932,40.760976,170.0,49.152941,
2026-03-23,2026-03-24,주부들_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,2014,1.014896,,캠페인 예산 사용,0,11200,진행 중,-,-,-,2044,5479.452055,264,,42.424242,12.915851,281,13.747554,39.857651,242.0,46.280992,
2026-03-23,2026-03-24,주부들_롱버전_영상1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,521,1.003839,,캠페인 예산 사용,0,2814,진행 중,-,-,-,523,5380.497132,64,,43.96875,12.237094,64,12.237094,43.96875,57.0,49.368421,
2026-03-23,2026-03-24,주부들_롱버전_영상2,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,132,1.007576,,캠페인 예산 사용,0,692,진행 중,-,-,-,133,5203.007519,17,,40.705882,12.781955,18,13.533835,38.444444,13.0,53.230769,
2026-03-23,2026-03-24,d_주부들_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,14,1.0,,캠페인 예산 사용,0,72,진행 중,-,-,-,14,5142.857143,5,,14.4,35.714286,6,42.857143,12.0,3.0,24.0,
2026-03-23,2026-03-24,d_매일장보러_영상_1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,15,1.0,,캠페인 예산 사용,0,63,진행 중,-,-,-,15,4200.0,1,,63.0,6.666667,1,6.666667,63.0,1.0,63.0,
2026-03-23,2026-03-24,d_띠링_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,10,1.0,,캠페인 예산 사용,0,62,진행 중,-,-,-,10,6200.0,0,,,,0,0.0,,,,
2026-03-23,2026-03-24,d_거기진짜_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1358,1.035346,,캠페인 예산 사용,0,8262,진행 중,-,-,-,1406,5876.244666,145,,56.97931,10.312945,173,12.30441,47.757225,140.0,59.014286,
2026-03-23,2026-03-24,d_거기진짜_롱버전_영상,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,947,1.008448,,캠페인 예산 사용,0,5519,진행 중,-,-,-,955,5779.057592,121,,45.61157,12.670157,126,13.193717,43.801587,122.0,45.237705,
2026-03-23,2026-03-24,d_묵직한_영상1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,129,1.03876,,캠페인 예산 사용,0,724,진행 중,-,-,-,134,5402.985075,13,,55.692308,9.701493,15,11.19403,48.266667,12.0,60.333333,
2026-03-23,2026-03-24,d_주부들_롱버전_영상1,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,838,1.046539,,캠페인 예산 사용,0,5669,진행 중,-,-,-,877,6464.082098,96,,59.052083,10.946408,110,12.542759,51.536364,87.0,65.16092,
