보고 시작,보고 종료,광고 이름,캠페인 이름,광고 세트 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW),리드당_비용
2026-03-01,2026-03-31,20251117_트래픽_영상,20250515_트래픽_영상,20250515_트래픽_영상,active,KRW,클릭 후 7일 또는 조회 후 1일,,,10952,4.616143,,캠페인 예산 사용,0,626956,진행 중,-,-,-,50556,12401.218451,2316,,270.70639,4.581059,2024,4.003481,309.76087,1754.0,357.443558,
2026-03-01,2026-03-31,무료배송+5%할인_이미지1,260309_pet안전봉투신제품할인,안전봉투_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,9421,2.294024,,캠페인 예산 사용,0,269106,진행 중,-,-,-,21612,12451.693504,240,,1121.275,1.110494,259,1.198408,1039.019305,187.0,1439.069519,
2026-03-01,2026-03-31,택배 클레임 지옥 탈출법_이미지2,260309_pet안전봉투신제품할인,안전봉투_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,21,1.142857,,캠페인 예산 사용,0,315,진행 중,-,-,-,24,13125.0,0,,,,1,4.166667,315.0,,,
2026-03-01,2026-03-31,택배받았는데_이미지3,260309_pet안전봉투신제품할인,안전봉투_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,106,1.132075,,캠페인 예산 사용,0,1490,진행 중,-,-,-,120,12416.666667,1,,1490.0,0.833333,1,0.833333,1490.0,1.0,1490.0,
2026-03-01,2026-03-31,택배클레임_이미지4,260309_pet안전봉투신제품할인,안전봉투_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1019,1.400393,,캠페인 예산 사용,0,17077,진행 중,-,-,-,1427,11967.06377,28,,609.892857,1.962158,29,2.032235,588.862069,20.0,853.85,
2026-03-01,2026-03-31,온라인판매자필독_이미지2,260309_pet안전봉투신제품할인,안전봉투_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,38,1.157895,,캠페인 예산 사용,0,760,진행 중,-,-,-,44,17272.727273,0,,,,0,0.0,,,,
2026-03-01,2026-03-31,택배 파손 0%_이미지2,260309_pet안전봉투신제품할인,안전봉투_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,685,1.426277,,캠페인 예산 사용,0,11167,진행 중,-,-,-,977,11429.88741,6,,1861.166667,0.614125,9,0.921187,1240.777778,4.0,2791.75,
2026-03-01,2026-03-31,뽁뽁이사는돈_이미지1,260309_pet안전봉투신제품할인,안전봉투_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,10938,2.836259,,캠페인 예산 사용,0,443172,진행 중,-,-,-,31023,14285.272217,344,,1288.290698,1.108855,547,1.763208,810.186472,212.0,2090.433962,
2026-03-01,2026-03-31,쿠팡업체도_영상,260309_pet안전봉투신제품할인,안전봉투_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,1684,3.274347,,캠페인 예산 사용,0,66764,진행 중,-,-,-,5514,12108.088502,178,,375.078652,3.228147,161,2.91984,414.68323,88.0,758.681818,
2026-03-01,2026-03-31,포자비용제로_영상,260309_pet안전봉투신제품할인,안전봉투_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,140,1.25,,캠페인 예산 사용,0,1980,진행 중,-,-,-,175,11314.285714,2,,990.0,1.142857,3,1.714286,660.0,2.0,990.0,
2026-03-01,2026-03-31,쿠팡업체도_영상_v2,260309_pet안전봉투신제품할인,안전봉투_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,19,1.157895,,캠페인 예산 사용,0,249,진행 중,-,-,-,22,11318.181818,0,,,,0,0.0,,,,
2026-03-01,2026-03-31,파손제로_이미지1_0320,260309_pet안전봉투신제품할인,안전봉투_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,478,1.322176,,캠페인 예산 사용,0,11525,진행 중,-,-,-,632,18235.759494,2,,5762.5,0.316456,7,1.107595,1646.428571,,,
2026-03-01,2026-03-31,포장만바꿔도_이미지2_0320,260309_pet안전봉투신제품할인,안전봉투_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,379,1.369393,,캠페인 예산 사용,0,13651,진행 중,-,-,-,519,26302.504817,5,,2730.2,0.963391,12,2.312139,1137.583333,3.0,4550.333333,
2026-03-01,2026-03-31,포장만바꿔도_이미지3_0320,260309_pet안전봉투신제품할인,안전봉투_타겟,active,KRW,클릭 후 7일 또는 조회 후 1일,,,7992,2.418919,,캠페인 예산 사용,0,254396,진행 중,-,-,-,19332,13159.321333,186,,1367.72043,0.962135,255,1.319056,997.631373,123.0,2068.260163,
2026-03-01,2026-03-31,포장만바꿔도_동영상_0320,260309_pet안전봉투신제품할인,안전봉투_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,94,1.351064,,캠페인 예산 사용,0,2964,진행 중,-,-,-,127,23338.582677,1,,2964.0,0.787402,1,0.787402,2964.0,,,
2026-03-01,2026-03-31,파손클래임_롱버전_이미지1_0320,260309_pet안전봉투신제품할인,안전봉투_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,305,1.163934,,캠페인 예산 사용,0,6491,진행 중,-,-,-,355,18284.507042,3,,2163.666667,0.84507,9,2.535211,721.222222,1.0,6491.0,
2026-03-01,2026-03-31,포장이브랜드_동영상_0320,260309_pet안전봉투신제품할인,안전봉투_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,37,1.459459,,캠페인 예산 사용,0,920,진행 중,-,-,-,54,17037.037037,1,,920.0,1.851852,2,3.703704,460.0,,,
2026-03-01,2026-03-31,포장이브랜드_슬라이드_0320,260309_pet안전봉투신제품할인,안전봉투_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,597,1.586265,,캠페인 예산 사용,0,25688,진행 중,-,-,-,947,27125.659979,15,,1712.533333,1.583949,27,2.851109,951.407407,4.0,6422.0,
