보고 시작,보고 종료,광고 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW),리드당_비용
2026-03-17,2026-03-24,20251117_트래픽_영상,active,KRW,클릭 후 7일 또는 조회 후 1일,,,3392,3.911851,,캠페인 예산 사용,0,143130,진행 중,-,-,-,13269,10786.796292,496,,288.568548,3.738036,451,3.3989,317.361419,379.0,377.651715,
2026-03-17,2026-03-24,무료배송+5%할인_이미지1,active,KRW,클릭 후 7일 또는 조회 후 1일,,,2302,1.768462,,캠페인 예산 사용,0,45698,진행 중,-,-,-,4071,11225.251781,15,,3046.533333,0.36846,16,0.393024,2856.125,9.0,5077.555556,
2026-03-17,2026-03-24,뽁뽁이사는돈_이미지1,active,KRW,클릭 후 7일 또는 조회 후 1일,,,4088,2.243151,,캠페인 예산 사용,0,143557,진행 중,-,-,-,9170,15655.070883,93,,1543.623656,1.014177,150,1.635769,957.046667,57.0,2518.54386,
2026-03-17,2026-03-24,쿠팡업체도_영상,active,KRW,클릭 후 7일 또는 조회 후 1일,,,441,2.60771,,캠페인 예산 사용,0,14413,진행 중,-,-,-,1150,12533.043478,5,,2882.6,0.434783,5,0.434783,2882.6,4.0,3603.25,
2026-03-17,2026-03-24,파손제로_이미지1_0320,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,478,1.322176,,캠페인 예산 사용,0,11525,진행 중,-,-,-,632,18235.759494,2,,5762.5,0.316456,7,1.107595,1646.428571,,,
2026-03-17,2026-03-24,포장만바꿔도_이미지2_0320,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,379,1.369393,,캠페인 예산 사용,0,13651,진행 중,-,-,-,519,26302.504817,5,,2730.2,0.963391,12,2.312139,1137.583333,3.0,4550.333333,
2026-03-17,2026-03-24,포장만바꿔도_이미지3_0320,active,KRW,클릭 후 7일 또는 조회 후 1일,,,2462,2.015841,,캠페인 예산 사용,0,75977,진행 중,-,-,-,4963,15308.684264,59,,1287.745763,1.188797,89,1.79327,853.674157,38.0,1999.394737,
2026-03-17,2026-03-24,포장만바꿔도_동영상_0320,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,94,1.351064,,캠페인 예산 사용,0,2964,진행 중,-,-,-,127,23338.582677,1,,2964.0,0.787402,1,0.787402,2964.0,,,
2026-03-17,2026-03-24,파손클래임_롱버전_이미지1_0320,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,305,1.163934,,캠페인 예산 사용,0,6491,진행 중,-,-,-,355,18284.507042,3,,2163.666667,0.84507,9,2.535211,721.222222,1.0,6491.0,
2026-03-17,2026-03-24,포장이브랜드_동영상_0320,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,37,1.459459,,캠페인 예산 사용,0,920,진행 중,-,-,-,54,17037.037037,1,,920.0,1.851852,2,3.703704,460.0,,,
2026-03-17,2026-03-24,포장이브랜드_슬라이드_0320,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,597,1.58459,,캠페인 예산 사용,0,25670,진행 중,-,-,-,946,27135.306554,15,,1711.333333,1.585624,27,2.854123,950.740741,4.0,6417.5,
