보고 시작,보고 종료,광고 이름,캠페인 이름,광고 세트 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW),리드당_비용
2026-03-01,2026-03-31,고기에대한자부심_1,한돈셋트_260225,260225_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,2824,1.332153,,캠페인 예산 사용,0,111345,진행 중,-,-,-,3762,29597.288676,106,,1050.424528,2.81765,109,2.897395,1021.513761,104.0,1070.625,
2026-03-01,2026-03-31,고기에대한자부심_롱버젼_2,한돈셋트_260225,260225_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,298,1.315436,,캠페인 예산 사용,0,8999,진행 중,-,-,-,392,22956.632653,11,,818.090909,2.806122,11,2.806122,818.090909,10.0,899.9,
2026-03-01,2026-03-31,삼겹살만먹기엔_3,한돈셋트_260225,260225_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,387,1.452196,,캠페인 예산 사용,0,12513,진행 중,-,-,-,562,22265.124555,21,,595.857143,3.736655,21,3.736655,595.857143,21.0,595.857143,
2026-03-01,2026-03-31,삼겹살만먹기엔_슬라이드,한돈셋트_260225,260225_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,503,1.159046,,캠페인 예산 사용,0,18406,진행 중,-,-,-,583,31571.183533,17,,1082.705882,2.915952,17,2.915952,1082.705882,17.0,1082.705882,
2026-03-01,2026-03-31,삼겹살만먹기엔_영상,한돈셋트_260225,260225_논타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,92,1.076087,,캠페인 예산 사용,0,3488,진행 중,-,-,-,99,35232.323232,1,,3488.0,1.010101,1,1.010101,3488.0,1.0,3488.0,
2026-03-01,2026-03-31,냉장으로_이미지1,한돈세트_260304,골라담기_260304_18_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,90,1.111111,,캠페인 예산 사용,0,4555,진행 중,-,-,-,100,45550.0,4,,1138.75,4.0,4,4.0,1138.75,4.0,1138.75,
2026-03-01,2026-03-31,고기에대한자부심_이미지1,한돈세트_260304,골라담기_260304_18_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,56,1.089286,,캠페인 예산 사용,0,3274,진행 중,-,-,-,61,53672.131148,5,,654.8,8.196721,5,8.196721,654.8,2.0,1637.0,
2026-03-01,2026-03-31,평점_이미지3,한돈세트_260304,골라담기_260304_18_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,22,1.090909,,캠페인 예산 사용,0,1310,진행 중,-,-,-,24,54583.333333,1,,1310.0,4.166667,1,4.166667,1310.0,1.0,1310.0,
2026-03-01,2026-03-31,국내산한돈실화_이미지1,한돈세트_260304,골라담기_260304_18_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,556,1.18705,,캠페인 예산 사용,0,24555,진행 중,-,-,-,660,37204.545455,24,,1023.125,3.636364,25,3.787879,982.2,21.0,1169.285714,
2026-03-01,2026-03-31,마트 삼겹살 왜 이렇게 비싸?_이미지1,한돈세트_260304,골라담기_260304_18_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,54,1.092593,,캠페인 예산 사용,0,2175,진행 중,-,-,-,59,36864.40678,5,,435.0,8.474576,4,6.779661,543.75,4.0,543.75,
2026-03-01,2026-03-31,오늘저녁은_이미지1,한돈세트_260304,골라담기_260304_18_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,196,1.132653,,캠페인 예산 사용,0,5864,진행 중,-,-,-,222,26414.414414,9,,651.555556,4.054054,7,3.153153,837.714286,9.0,651.555556,
2026-03-01,2026-03-31,오늘저녁은_영상,한돈세트_260304,골라담기_260304_18_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,184,1.168478,,캠페인 예산 사용,0,7480,진행 중,-,-,-,215,34790.697674,10,,748.0,4.651163,11,5.116279,680.0,9.0,831.111111,
2026-03-01,2026-03-31,냉장으로_슬라이드,한돈세트_260304,골라담기_260304_18_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,8917,1.679825,,캠페인 예산 사용,0,572553,진행 중,-,-,-,14979,38223.713198,631,,907.37401,4.212564,645,4.306028,887.67907,612.0,935.544118,
2026-03-01,2026-03-31,혼밥도삽겹살파티_이미지1,한돈세트_260304,골라담기_260304_18_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,92,1.130435,,캠페인 예산 사용,0,3056,진행 중,-,-,-,104,29384.615385,2,,1528.0,1.923077,2,1.923077,1528.0,2.0,1528.0,
2026-03-01,2026-03-31,입안가득_이미지1,한우사골곰탕_260307,한우사골곰탕_260307,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,214,1.070093,,캠페인 예산 사용,0,4983,진행 중,-,-,-,229,21759.825328,0,,,,2,0.873362,2491.5,,,
2026-03-01,2026-03-31,저보다가족들이_이미지2,한우사골곰탕_260307,한우사골곰탕_260307,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,232,1.060345,,캠페인 예산 사용,0,5264,진행 중,-,-,-,246,21398.373984,2,,2632.0,0.813008,3,1.219512,1754.666667,2.0,2632.0,
2026-03-01,2026-03-31,마트장보고_이미지3,한우사골곰탕_260307,한우사골곰탕_260307,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,468,1.136752,,캠페인 예산 사용,0,18279,진행 중,-,-,-,532,34359.022556,10,,1827.9,1.879699,13,2.443609,1406.076923,10.0,1827.9,
2026-03-01,2026-03-31,마트장보고_이미지4,한우사골곰탕_260307,한우사골곰탕_260307,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,380,1.094737,,캠페인 예산 사용,0,12463,진행 중,-,-,-,416,29959.134615,8,,1557.875,1.923077,8,1.923077,1557.875,7.0,1780.428571,
2026-03-01,2026-03-31,엄마배고파_영상,한우사골곰탕_260307,한우사골곰탕_260307,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,70,1.042857,,캠페인 예산 사용,0,1576,진행 중,-,-,-,73,21589.041096,1,,1576.0,1.369863,1,1.369863,1576.0,1.0,1576.0,
2026-03-01,2026-03-31,이름만곰탕인_이미지1,한우사골곰탕_260307,한우사골곰탕_260307,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,256,1.046875,,캠페인 예산 사용,0,5319,진행 중,-,-,-,268,19847.014925,3,,1773.0,1.119403,3,1.119403,1773.0,3.0,1773.0,
2026-03-01,2026-03-31,냉장고에든든한_이미지2,한우사골곰탕_260307,한우사골곰탕_260307,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,198,1.040404,,캠페인 예산 사용,0,4823,진행 중,-,-,-,206,23412.621359,6,,803.833333,2.912621,7,3.398058,689.0,6.0,803.833333,
2026-03-01,2026-03-31,퍽퍽한고기_이미지3,한우사골곰탕_260307,한우사골곰탕_260307,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,227,1.052863,,캠페인 예산 사용,0,5861,진행 중,-,-,-,239,24523.012552,8,,732.625,3.34728,8,3.34728,732.625,8.0,732.625,
2026-03-01,2026-03-31,소화잘되고_이미지4,한우사골곰탕_260307,한우사골곰탕_260307,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,21,1.047619,,캠페인 예산 사용,0,1029,진행 중,-,-,-,22,46772.727273,1,,1029.0,4.545455,1,4.545455,1029.0,1.0,1029.0,
2026-03-01,2026-03-31,국내산한돈실화_슬라이드3,한돈세트_260304,골라담기_260304_18_타겟,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,53,1.056604,,캠페인 예산 사용,0,811,진행 중,-,-,-,56,14482.142857,0,,,,0,0.0,,,,
