보고 시작,보고 종료,광고 이름,광고 게재,통화,기여 설정,결과,결과 표시 도구,도달,빈도,결과당 비용,광고 세트 예산,광고 세트 예산 유형,지출 금액 (KRW),종료,품질 순위,참여율 순위,전환율 순위,노출,"CPM(1,000회 노출당 비용) (KRW)",링크 클릭,shop_clicks,CPC(링크 클릭당 비용) (KRW),CTR(링크 클릭률),클릭(전체),CTR(전체),CPC(전체) (KRW),랜딩 페이지 조회,랜딩 페이지 조회당 비용 (KRW),리드당_비용
2026-03-17,2026-03-24,냉장으로_슬라이드,active,KRW,클릭 후 7일 또는 조회 후 1일,,,495,1.062626,,캠페인 예산 사용,0,18043,진행 중,-,-,-,526,34302.281369,15,,1202.866667,2.851711,13,2.471483,1387.923077,13.0,1387.923077,
2026-03-17,2026-03-24,오늘저녁은_슬라이드_0313,active,KRW,클릭 후 7일 또는 조회 후 1일,,,2471,1.356536,,캠페인 예산 사용,0,159597,진행 중,-,-,-,3352,47612.470167,120,,1329.975,3.579952,132,3.937947,1209.068182,117.0,1364.076923,
2026-03-17,2026-03-24,마트삼겹살_슬라이드_260313,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,80,1.0125,,캠페인 예산 사용,0,3459,진행 중,-,-,-,81,42703.703704,5,,691.8,6.17284,5,6.17284,691.8,5.0,691.8,
2026-03-17,2026-03-24,냉장으로_슬라이드_new,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,1370,1.124818,,캠페인 예산 사용,0,41261,진행 중,-,-,-,1541,26775.470474,33,,1250.333333,2.141467,32,2.076574,1289.40625,30.0,1375.366667,
2026-03-17,2026-03-24,고깃집부럽지않아요_슬라이드,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,47,1.0,,캠페인 예산 사용,0,2463,진행 중,-,-,-,47,52404.255319,1,,2463.0,2.12766,1,2.12766,2463.0,1.0,2463.0,
2026-03-17,2026-03-24,혼밥도_슬라이드,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,103,1.029126,,캠페인 예산 사용,0,4206,진행 중,-,-,-,106,39679.245283,4,,1051.5,3.773585,5,4.716981,841.2,4.0,1051.5,
2026-03-17,2026-03-24,고깃집부럽지않아요_슬라이드 - 사본,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,515,1.066019,,캠페인 예산 사용,0,12682,진행 중,-,-,-,549,23100.182149,12,,1056.833333,2.185792,12,2.185792,1056.833333,11.0,1152.909091,
2026-03-17,2026-03-24,냉장으로_영상_0318,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,154,1.103896,,캠페인 예산 사용,0,5620,진행 중,-,-,-,170,33058.823529,2,,2810.0,1.176471,2,1.176471,2810.0,2.0,2810.0,
2026-03-17,2026-03-24,냉장아닙니다_슬라이드,active,KRW,클릭 후 7일 또는 조회 후 1일,,,3340,1.228144,,캠페인 예산 사용,0,176914,진행 중,-,-,-,4102,43128.717699,108,,1638.092593,2.632862,112,2.730375,1579.589286,105.0,1684.895238,
2026-03-17,2026-03-24,퇴근길에_슬라이드_0318,inactive,KRW,클릭 후 7일 또는 조회 후 1일,,,2,1.0,,캠페인 예산 사용,0,49,진행 중,-,-,-,2,24500.0,0,,,,0,0.0,,,,
